,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
metricName,Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Average Response Time (ms),Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute,Calls per Minute
serviceName,advsecutil-svc-clt-ent-wlcore,client-svc-clt-ent-wlcore,client-svc-pyx-ent-wlcore,cltprdsubscription-svc-clt-ent-wlcore,cltprdsubscription-svc-pyx-ent-wlcore,cltvalidation-svc-clt-ent-wlcore,cltwkrmigration-ent-wlcore,ent-ose-auditdispatcher-svc-clt,ent-ose-c3po-svc-clt,ent-ose-cltprdsubscription-svc-clt,ent-ose-cltprdsubscription-svc-pyx,ent-ose-communication-svc-clt,ent-ose-emaildispatcher-svc-clt,ent-ose-ent-ose-user-svc-clt,ent-ose-ent-ose-user-svc-par,ent-ose-ent-ose-user-svc-pyx,ent-ose-ent-ose-user-svc-pyx-btc,ent-ose-entitlement-svc-clt,ent-ose-entitlement-svc-par,ent-ose-entitlement-svc-pyx,ent-ose-fbwmessagedispatcher-svc-clt,ent-ose-inboundccs-rem-clt,ent-ose-inbounddispatcher-svc-clt,ent-ose-messageboarddispatcher-svc-clt,ent-ose-mobilepushdispatcher-svc-clt,ent-ose-onboarding-svc-int,ent-ose-prdusagecount-svc-par,ent-ose-prdusagecount-svc-pyx,ent-ose-securitylogger-svc-pyx,ent-ose-smsdispatcher-svc-clt,ent-ose-subscription-svc-clt,ent-ose-subscription-svc-par,ent-ose-subscription-svc-pyx,ent-ose-twowaysmsdispatcher-svc-clt,ent-ose-user-svc-clt,ent-ose-user-svc-par,ent-ose-user-svc-pyx,ent-ose-user-svc-pyx-btc,ent-ose-usercontext-svc-clt,ent-ose-usercontext-svc-par,ent-ose-usercontext-svc-pyx,ent-ose-voicedispatcher-svc-clt,entcommon-svc-clt-hrs-wlcore,entitlement-svc-clt-ent-wlcore,entitlement-svc-par-ent-wlcore,erd-svc-par-ent-wlcore,flex-ose-cmsgateway-svc-clt,flex-ose-cmsgateway-svc-pyx,flex-ose-conappmgt-rem-clt,flex-ose-conappmgt-rem-pyx,flex-ose-consent-rem-clt,flex-ose-dashboard-rem-clt,flex-ose-dashboard-rem-pyx,flex-ose-dashboardlayout-svc-clt,flex-ose-dashboardlayout-svc-pyx,flex-ose-entdatatool-app-pyx,flex-ose-flexbothelp-rem-clt,flex-ose-helpactivity-svc-clt,flex-ose-helpactivity-svc-pyx,flex-ose-helpcenter-rem-clt,flex-ose-helpcenter-rem-pyx,flex-ose-landingaux-rem-clt,flex-ose-landingaux-rem-pyx,flex-ose-register-svc-par,flex-ose-searchgateway-svc-clt,flex-ose-searchgateway-svc-pyx,flex-ose-watch-rem-clt,flex-ose-wpwebhook-svc-par,genericgroup-svc-client-ent-wlcore,guid-svc-clt-ent-wlcore,hrsimaging-svc-client-hrs-wlcore,iaadapter-svc-clt-ent-wlcore,migrationtool-svc-clt-flex-wlcore,notification-svc-clt-flex-wlcore,prdsubscriptionext-rem-pyx-flex-wlcore,provisioning-svc-clt-ent-wlcore,reportingsecurity-svc-clt-flex-wlcore,subscription-svc-clt-ent-wlcore,uniqueclient-svc-clt-hrs-wlcore,user-svc-clt-ent-wlcore,user-svc-par-ent-wlcore,useraccessutility-svc-clt-flex-wlcore,userutility-svc-clt-flex-wlcore,wkrdemographic-svc-pyx-ent-wlcore,advsecutil-svc-clt-ent-wlcore,client-svc-clt-ent-wlcore,client-svc-pyx-ent-wlcore,cltprdsubscription-svc-clt-ent-wlcore,cltprdsubscription-svc-pyx-ent-wlcore,cltvalidation-svc-clt-ent-wlcore,cltwkrmigration-ent-wlcore,ent-ose-auditdispatcher-svc-clt,ent-ose-c3po-svc-clt,ent-ose-cltprdsubscription-svc-clt,ent-ose-cltprdsubscription-svc-pyx,ent-ose-communication-svc-clt,ent-ose-emaildispatcher-svc-clt,ent-ose-ent-ose-user-svc-clt,ent-ose-ent-ose-user-svc-par,ent-ose-ent-ose-user-svc-pyx,ent-ose-ent-ose-user-svc-pyx-btc,ent-ose-entitlement-svc-clt,ent-ose-entitlement-svc-par,ent-ose-entitlement-svc-pyx,ent-ose-fbwmessagedispatcher-svc-clt,ent-ose-inboundccs-rem-clt,ent-ose-inbounddispatcher-svc-clt,ent-ose-messageboarddispatcher-svc-clt,ent-ose-mobilepushdispatcher-svc-clt,ent-ose-onboarding-svc-int,ent-ose-prdusagecount-svc-par,ent-ose-prdusagecount-svc-pyx,ent-ose-securitylogger-svc-pyx,ent-ose-smsdispatcher-svc-clt,ent-ose-subscription-svc-clt,ent-ose-subscription-svc-par,ent-ose-subscription-svc-pyx,ent-ose-twowaysmsdispatcher-svc-clt,ent-ose-user-svc-clt,ent-ose-user-svc-par,ent-ose-user-svc-pyx,ent-ose-user-svc-pyx-btc,ent-ose-usercontext-svc-clt,ent-ose-usercontext-svc-par,ent-ose-usercontext-svc-pyx,ent-ose-voicedispatcher-svc-clt,entcommon-svc-clt-hrs-wlcore,entitlement-svc-clt-ent-wlcore,entitlement-svc-par-ent-wlcore,erd-svc-par-ent-wlcore,flex-ose-cmsgateway-svc-clt,flex-ose-cmsgateway-svc-pyx,flex-ose-conappmgt-rem-clt,flex-ose-conappmgt-rem-pyx,flex-ose-consent-rem-clt,flex-ose-dashboard-rem-clt,flex-ose-dashboard-rem-pyx,flex-ose-dashboardlayout-svc-clt,flex-ose-dashboardlayout-svc-pyx,flex-ose-entdatatool-app-pyx,flex-ose-flexbothelp-rem-clt,flex-ose-helpactivity-svc-clt,flex-ose-helpactivity-svc-pyx,flex-ose-helpcenter-rem-clt,flex-ose-helpcenter-rem-pyx,flex-ose-landingaux-rem-clt,flex-ose-landingaux-rem-pyx,flex-ose-register-svc-par,flex-ose-searchgateway-svc-clt,flex-ose-searchgateway-svc-pyx,flex-ose-watch-rem-clt,flex-ose-wpwebhook-svc-par,genericgroup-svc-client-ent-wlcore,guid-svc-clt-ent-wlcore,hrsimaging-svc-client-hrs-wlcore,iaadapter-svc-clt-ent-wlcore,migrationtool-svc-clt-flex-wlcore,notification-svc-clt-flex-wlcore,prdsubscriptionext-rem-pyx-flex-wlcore,provisioning-svc-clt-ent-wlcore,reportingsecurity-svc-clt-flex-wlcore,subscription-svc-clt-ent-wlcore,uniqueclient-svc-clt-hrs-wlcore,user-svc-clt-ent-wlcore,user-svc-par-ent-wlcore,useraccessutility-svc-clt-flex-wlcore,userutility-svc-clt-flex-wlcore,wkrdemographic-svc-pyx-ent-wlcore
count,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,89.0,1667.0,200.0,1667.0,1667.0,245.0,1667.0,168.0,168.0,168.0,168.0,1667.0,1667.0,1667.0,1667.0,202.0,1667.0,1081.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1501.0,1501.0,1501.0,1501.0,18.0,18.0,18.0,1667.0,1667.0,1667.0,34.0,12.0,1667.0,1667.0,563.0,228.0,1323.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,365.0,1667.0,1667.0,1667.0,1667.0,1666.0,1667.0,1667.0,1661.0,1664.0,1667.0,583.0,1667.0,1667.0,1667.0,1667.0,1667.0,30.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,89.0,1667.0,200.0,1667.0,1667.0,245.0,1667.0,168.0,168.0,168.0,168.0,1667.0,1667.0,1667.0,1667.0,202.0,1667.0,1081.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1501.0,1501.0,1501.0,1501.0,18.0,18.0,18.0,1667.0,1667.0,1667.0,34.0,12.0,1667.0,1667.0,563.0,228.0,1323.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,1667.0,365.0,1667.0,1667.0,1667.0,1667.0,1666.0,1667.0,1667.0,1661.0,1664.0,1667.0,583.0,1667.0,1667.0,1667.0,1667.0,1667.0,30.0,1667.0,1667.0,1667.0
mean,3.6940611877624474,7.980203959208159,6.8374325134973,16.130173965206957,47.24475104979004,1.0515896820635873,6039.3258426966295,1.0989802039592083,149499217.62,138.28434313137373,11.9250149970006,138373420.0734694,1.1349730053989202,1.005952380952381,1.005952380952381,1.005952380952381,7.601190476190476,1.0035992801439713,26.12897420515897,1.0023995200959808,1.044391121775645,163849460.9009901,1.1157768446310738,1.3034227567067531,1.0467906418716257,38.50509898020396,0.9040191961607679,3.032993401319736,0.4943011397720456,1.1901619676064787,1.0,1.0,1.0,1.2213557288542292,1.2145236508994004,1.0039973351099267,1.0013324450366423,125.09260493004663,5.0,3.388888888888889,2.7222222222222223,1.2675464907018597,6.262747450509898,13.856028794241151,359.97058823529414,117.08333333333333,0.7186562687462508,0.04379124175164967,1.733570159857904,1.0175438596491229,0.6341647770219199,5.808638272345531,1.0011997600479905,2.9088182363527295,2.0077984403119378,188.1151769646071,2.9748050389922014,1.7696460707858428,0.4391121775644871,2.8218356328734253,1.0155968806238753,34.56568686262747,3.331733653269346,0.3041095890410959,0.7330533893221356,0.047390521895620874,1.7186562687462508,1.9814037192561487,8.915366146458583,2.125974805038992,0.1739652069586083,0.11800120409391933,158.90204326923077,87.42171565686863,339.4442538593482,63.53989202159568,12.590281943611277,96.57888422315537,1.9670065986802638,12.274145170965808,412.1333333333333,139.23095380923814,127.54289142171565,1.035392921415717,2956.1685662867426,3756.1853629274146,2934.246550689862,360.56628674265147,580.5464907018596,287.877624475105,1.2247191011235956,144.19076184763048,4.72,3963.874025194961,538.3017396520696,5.946938775510204,144.20575884823035,360.2916666666667,360.7440476190476,360.7559523809524,360.51785714285717,324.3035392921416,2691.003599280144,324.41871625674867,72.07798440311937,4.099009900990099,36.02879424115177,36.05550416281221,36.02879424115177,298.5344931013797,324.627474505099,355.5224955008998,566.4499100179964,36.03539292141571,360.4535092981404,360.2423515296941,360.2399520095981,36.028194361127774,360.508327781479,360.2991339107262,360.51565622918054,362.7661558960693,5.555555555555555,5.555555555555555,5.5,36.021595680863825,168.9496100779844,6347.230953809239,4.0588235294117645,1.9166666666666667,336.29514097180567,330.15416916616675,324.53641207815275,323.5438596491228,323.99319727891157,1565.50149970006,323.6010797840432,966.4787042591481,323.744451109778,538.3167366526694,113.67786442711457,335.07378524295143,329.8164367126575,344.8824235152969,325.9052189562088,2108.0425914817038,325.2039592081584,1623.3068493150686,339.744451109778,330.2795440911818,324.2339532093581,431.5122975404919,20.24249699879952,78.8878224355129,215.48350329934013,233.316074653823,0.13762019230769232,397.84823035392924,0.36192109777015435,438.2015596880624,403.1985602879424,3609.502099580084,265.14817036592683,7682.672465506898,4.466666666666667,21.286742651469705,506.91181763647273,261.2147570485903
std,1.1927077362677623,3.597747288597876,1.6812189403955924,84.34832723577105,58.60780865240592,1.6481579239327793,18363.351880589427,0.3046934443765681,328349780.6513781,49.69055034038856,14.702810791914862,286755983.2205421,0.3704504524038542,0.07715167498104596,0.07715167498104596,0.07715167498104596,61.47655605742782,0.06920229891233097,5.765176253197006,0.06925431116988957,0.21177103905481104,335959362.5413699,0.32746898443368355,0.4659491863491454,0.21686172913687102,32.05690381225255,1.0870411704410865,20.88554508781618,0.5001175497041764,0.40310816443994657,0.0,0.0,0.0,0.4195977437240207,1.2709375501076343,0.06311901979245475,0.03649050205123442,401.60904548903005,6.756260713111167,3.972536438049875,3.158658605010446,0.4482018664099958,11.01594709528729,5.7656018777206315,595.4367119153917,249.5510362570544,0.47446804106703816,0.20760342792110054,2.318130429970137,0.18690411404672866,0.48341303607605285,2.6669867815053045,0.03462715558494479,2.2933355572935046,0.10071360115371622,2502.8976827380934,3.8988518188288044,1.5602243988538858,0.4976353966599249,1.8857023782033338,0.16176265182197444,27.029612915520463,3.805880274484566,0.4606607641264881,0.4962093756135498,0.2153421420841971,9.045338973022513,0.14374412728113625,4.070775256284431,8.647198204579377,7.053965794314582,3.287881341114907,357.6277581078461,67.37187178622192,720.9475746489358,64.0317490332885,15.33924426125011,114.49821204830972,2.808748270047397,50.49061645825148,841.6076460471694,124.98476757797599,91.05230375320284,1.1597780497283674,1614.1268683714436,1653.370413707613,1783.5254648684256,124.12531285964987,614.512462131264,12.225203617001384,7.139443588245839,4.568364107612263,9.495918192126435,2382.2080476314522,376.3784678158239,14.11026689981239,4.709089618923153,7.9197730012430005,10.14210233660172,9.465029883962632,9.417128752626327,13.024688190966208,1264.6840833660121,13.165940088844506,2.237927734484426,8.598860216608776,1.314481597666194,0.8146061023991831,1.1756375186616594,167.178360745967,16.193674414320384,150.5928618091255,45.90327640600204,1.1939502910510489,13.058763368046938,12.345907117673672,12.34634295617342,1.2981829727077954,14.873805742596199,14.101221906252992,15.357102202316996,19.741579145203833,6.913092627269116,6.7407646818986375,7.122871199007256,1.2813236317937395,30.105813464340574,5473.045538439819,11.108121998409578,4.870287154747343,29.98123453353422,29.241669877376427,28.412505502937336,19.519171802534732,8.84549419796803,1157.9560620958157,8.100795021837522,598.6777166387276,8.327089399712698,45.10618898934481,15.234501761987184,27.412174769238973,27.009555794609668,30.807567503644222,22.19277410433466,1656.7467593798062,71.78186014934508,69.28963801662184,32.19127199880147,30.3570561783588,10.9797029331221,9.86726121463312,27.24424099502289,88.85394095259021,4.342363440862606,49.43366652422374,0.3794836000974977,94.9911748042101,0.6614503594043782,126.68067793958232,68.86617011044746,2321.8190658954227,129.8371368830866,4678.918617765474,13.307330967224958,27.790881516168874,177.53634806503499,43.633150366554176
min,2.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,45.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,13.0,0.0,6.0,0.0,3.0,15.0,1.0,321.0,699.0,92.0,165.0,144.0,141.0,0.0,96.0,0.0,575.0,270.0,0.0,96.0,315.0,313.0,304.0,303.0,216.0,477.0,216.0,48.0,0.0,24.0,36.0,24.0,202.0,216.0,217.0,367.0,24.0,240.0,240.0,240.0,24.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,24.0,101.0,618.0,0.0,0.0,266.0,263.0,216.0,216.0,216.0,315.0,216.0,315.0,216.0,16.0,73.0,266.0,263.0,223.0,216.0,265.0,223.0,1560.0,265.0,263.0,218.0,288.0,0.0,3.0,144.0,136.0,0.0,225.0,0.0,208.0,244.0,720.0,164.0,847.0,0.0,0.0,286.0,136.0
25%,3.0,6.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,107.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,85.0,44.0,7.5,18.0,2.0,45.0,0.0,8.0,0.0,87.0,81.0,1.0,1804.0,2404.5,1473.0,296.0,291.0,288.0,0.0,144.0,0.0,2204.5,399.0,0.0,144.0,360.0,360.0,360.0,360.0,324.0,1811.0,324.0,72.0,0.0,36.0,36.0,36.0,218.0,324.0,325.0,542.0,36.0,360.0,360.0,360.0,36.0,360.0,360.0,360.0,360.0,0.0,0.0,0.0,36.0,148.0,1890.0,0.0,0.0,326.0,324.0,324.0,324.0,324.0,620.5,324.0,477.0,324.0,540.0,109.0,325.0,324.0,329.0,324.0,758.5,265.0,1620.0,327.0,324.0,324.0,432.0,2.0,13.0,216.0,192.0,0.0,322.0,0.0,330.0,363.0,1582.0,217.0,3719.0,0.0,2.0,362.0,192.0
50%,4.0,7.0,6.0,5.0,13.0,1.0,144.0,1.0,313185.0,122.0,4.0,598765.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,830495.5,1.0,1.0,1.0,30.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.5,2.0,1.0,1.0,12.0,15.5,4.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,34.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,106.0,65.0,135.0,37.0,4.0,60.0,1.0,10.0,5.5,102.0,113.0,1.0,2535.0,3561.0,2375.0,307.0,321.0,288.0,0.0,144.0,1.0,3335.0,409.0,1.0,144.0,360.0,360.0,360.0,360.0,324.0,2468.0,324.0,72.0,1.0,36.0,36.0,36.0,225.0,324.0,328.0,547.0,36.0,360.0,360.0,360.0,36.0,360.0,360.0,360.0,360.0,2.5,4.0,2.5,36.0,150.0,3092.0,0.0,0.0,328.0,324.0,324.0,324.0,324.0,907.0,324.0,627.0,324.0,540.0,110.0,327.0,324.0,335.0,324.0,1171.0,294.0,1620.0,330.0,324.0,324.0,432.0,5.0,31.0,216.0,192.0,0.0,349.0,0.0,409.0,371.0,2747.0,223.0,6072.0,0.0,5.0,422.0,288.0
75%,4.0,9.0,7.0,16.0,94.0,1.0,4023.0,1.0,118496471.75,166.0,17.0,118915992.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,131794112.5,1.0,2.0,1.0,56.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,4.0,2.0,12.0,18.0,415.25,31.75,1.0,0.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,46.0,6.0,1.0,1.0,0.0,1.0,2.0,9.0,3.0,0.0,0.0,147.0,131.0,370.0,83.0,21.0,77.0,2.0,11.0,227.75,137.0,182.0,1.0,4073.5,4971.5,4455.5,353.0,503.5,289.0,0.0,144.0,5.0,5279.0,480.0,3.0,144.0,360.0,360.0,360.0,360.0,324.0,3434.5,324.0,72.0,4.0,36.0,36.0,36.0,278.0,324.0,358.0,567.0,36.0,360.0,360.0,360.0,36.0,360.0,360.0,360.0,360.0,10.25,10.25,11.0,36.0,191.5,12090.5,0.0,0.0,336.0,324.0,324.0,324.0,324.0,2851.5,324.0,1625.0,324.0,541.0,115.0,334.0,324.0,358.0,325.0,3852.5,397.0,1620.0,341.0,324.0,324.0,432.0,31.0,137.0,216.0,288.0,0.0,496.0,1.0,521.0,416.5,6096.5,241.0,12104.0,0.0,34.0,698.0,288.0
max,20.0,52.0,36.0,2615.0,231.0,68.0,120129.0,3.0,1606246060.0,401.0,86.0,1309912979.0,5.0,2.0,2.0,2.0,666.0,3.0,42.0,3.0,3.0,1619081998.0,3.0,3.0,3.0,339.0,43.0,847.0,1.0,4.0,1.0,1.0,1.0,3.0,23.0,2.0,2.0,1675.0,24.0,15.0,11.0,3.0,212.0,54.0,2056.0,651.0,4.0,2.0,24.0,3.0,2.0,81.0,2.0,94.0,4.0,34192.0,46.0,10.0,2.0,15.0,5.0,832.0,20.0,1.0,3.0,2.0,215.0,3.0,83.0,352.0,288.0,126.0,4452.0,1006.0,8656.0,441.0,60.0,1053.0,34.0,2025.0,2969.0,1470.0,2937.0,48.0,8634.0,10242.0,14303.0,1410.0,6779.0,495.0,56.0,287.0,67.0,17012.0,5212.0,118.0,286.0,423.0,431.0,422.0,434.0,615.0,11845.0,613.0,143.0,58.0,72.0,48.0,72.0,1790.0,613.0,4046.0,816.0,71.0,686.0,687.0,688.0,71.0,690.0,692.0,692.0,691.0,25.0,25.0,26.0,72.0,275.0,22897.0,51.0,16.0,652.0,627.0,893.0,551.0,431.0,4310.0,439.0,2375.0,402.0,1049.0,252.0,623.0,622.0,1010.0,880.0,8918.0,879.0,2942.0,916.0,824.0,622.0,532.0,178.0,548.0,218.0,487.0,6.0,685.0,5.0,1221.0,661.0,10731.0,846.0,25772.0,67.0,132.0,971.0,472.0
